what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550190938354
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1550190938407
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550190957522
started,bundle,com.sysdeo.eclipse.tomcat,3.2.1,com.sysdeo.eclipse.tomcat,1550190957638
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550190960793
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1550190965450
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550190991923
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550192138995
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550192139079
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1550192143666
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1550192143751
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550192150061
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550192493984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1550192502543
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1550192530992
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1550192537596
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1550192540432
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550192558308
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550192586684
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550192590454
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1550192591487
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1550192592545
started,bundle,org.eclipse.jst.j2ee.core,1.1.201.v200808071630,org.eclipse.jst.j2ee.core,1550192592545
started,bundle,org.eclipse.jem,2.0.201.v200806201600,org.eclipse.jem,1550192593331
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1550192593757
