what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550126607936
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1550126626745
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1550126642013
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550126652186
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1550126657191
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550126659130
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1550126660256
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.navigate.linkWithEditor,1550126660446
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.navigate.linkWithEditor,1550126660529
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1550126664612
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550126669815
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550126670049
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1550126670080
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1550126671118
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550126684850
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550126794221
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550126893732
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550126984647
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550126988515
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1550126988686
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550127006277
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550127006363
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1550127033111
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1550127033714
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1550127045691
