what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1549526214823
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1549526220222
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1549526224589
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1549526226294
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1549526227155
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1549526232940
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1549526237054
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1549526237207
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1549526237656
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1549526240328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526259085
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526308881
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1549526314423
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526316646
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526340957
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1549526342951
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526351203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526354476
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526357098
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526367966
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1549526369439
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1549526373652
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526388197
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526471753
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549526535000
