what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1549499545324
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1549499548317
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1549499550401
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1549499552823
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549499554740
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549499782950
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549499784125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549499831626
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1549499832292
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1549499832474
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1549499833706
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1549499836523
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549499868193
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549500154926
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1549500418778
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1549500420544
started,bundle,org.eclipse.jst.j2ee.core,1.1.201.v200808071630,org.eclipse.jst.j2ee.core,1549500420562
started,bundle,org.eclipse.jem,2.0.201.v200806201600,org.eclipse.jem,1549500421148
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1549500421398
started,bundle,org.eclipse.jst.jee,1.0.101.v200807240600,org.eclipse.jst.jee,1549500423838
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1549500424584
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549500424703
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1549500424783
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1549500424914
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.201.v200808071700,org.eclipse.wst.common.emfworkbench.integration,1549500425581
