what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824011023
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824546767
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824547868
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824549341
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824553751
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824578082
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824579013
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824589292
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824590365
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824592407
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824593414
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824598857
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824599815
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824613187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824615549
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824616924
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1550824617071
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1550824617227
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1550824617243
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550824618017
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1550824620007
