what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.203.v200809102205,org.eclipse.jst.j2ee.J2EEPerspective,1549507092788
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1549507111044
started,bundle,org.eclipse.jst.servlet.ui,1.1.202.v200809102205,org.eclipse.jst.servlet.ui,1549507113133
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1549507121447
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1549507122809
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1549507130495
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1549507130536
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507224771
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507382346
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507382668
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507417124
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1549507417185
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507419988
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507424761
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1549507425401
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1549507425564
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1549507455185
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1549507456035
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1549507484145
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507498860
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549507498991
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1549507519004
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549508911078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1549512073784
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1549512199061
