what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800048570
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800081012
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800091586
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800091626
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800112905
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800113192
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800135349
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800139519
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800159851
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800202794
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550800203001
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550800264150
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550800266681
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800301125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800521762
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1550800521824
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800525634
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1550800546206
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800547048
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550800547934
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550800548087
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800590783
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800590930
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800598226
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550800598388
