what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550725222741
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.navigate.backwardHistory,1550725222741
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725349906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725351425
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725352346
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725388084
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725397345
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725509257
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550725509460
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550725567086
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1550725620002
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550725621384
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1550725622823
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1550725688257
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725695350
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725701548
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1550725702270
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1550725703097
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550725705229
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1550725707087
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725721770
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725744455
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1550725763234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725770254
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1550725777257
