what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.core,1551139698867
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1551139699288
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1551139700074
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1551139700277
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1551139700698
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1551139700839
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1551139700987
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1551139701105
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1551139701946
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551139996527
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551139997125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140094411
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140095596
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140112116
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140112811
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140309421
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1551140321241
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1551140321485
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.editor,1551140322827
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1551140325367
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.navigate.backwardHistory,1551140325638
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140328018
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1551140328149
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1551140337835
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1551140355039
